domain_id,knowledge_domain,primary_authoritative_source,primary_authoritative_source_ids,supporting_sources,supporting_source_ids,owner,resolution_rule
KD-002,Product compatibility,compatibility_matrix.csv,SRC-001,,,Product Engineering / System Engineering,Use the structured compatibility source for approved product combinations. Do not infer compatibility from narrative documents.
KD-003,Firmware requirements,compatibility_matrix.csv,SRC-001,"Relevant approved product update / release note, if available",,Product Engineering,Use the structured compatibility source for minimum firmware required for approved combinations. Narrative sources may explain changes but must not override the structured rule.
KD-004,Installation prerequisites,Battery_Installation_Guide.md / ChargeOne_EV_Charger_Integration_Guide.md,SRC-002;SRC-003,EnergyHub_System_Integration_Guide.md,SRC-004,Product Engineering / Technical Documentation,Use the product-specific guide for device-level installation prerequisites. Use EnergyHub guidance only for system-level prerequisites.
KD-006,Commissioning,Battery_Installation_Guide.md / ChargeOne_EV_Charger_Integration_Guide.md,SRC-002;SRC-003,EnergyHub_System_Integration_Guide.md,SRC-004,Product Engineering / Technical Documentation,Use product-specific guides for device commissioning and EnergyHub guidance for system-level sequencing and coordinated functions.
KD-007,Retrofit requirements,Relevant product integration or installation guide,SRC-002;SRC-003,EnergyHub_System_Integration_Guide.md; compatibility_matrix.csv,SRC-004;SRC-001,Product Engineering / System Engineering,"Resolve product-specific retrofit requirements in the relevant guide, validate deterministic compatibility separately, and use EnergyHub guidance for system-level retrofit constraints."
KD-008,System integration,EnergyHub_System_Integration_Guide.md,SRC-004,ChargeOne_EV_Charger_Integration_Guide.md; Battery_Installation_Guide.md,SRC-003;SRC-002,System Engineering,Use EnergyHub guidance for system-level integration. Use device-specific guides only for component-specific prerequisites and limitations.
KD-009,Energy-management behavior,EnergyHub_System_Integration_Guide.md,SRC-004,ChargeOne_EV_Charger_Integration_Guide.md,SRC-003,System Engineering,Use EnergyHub as the source of truth for system-level coordination logic. Use ChargeOne documentation for charger-specific behavior and dependencies.
KD-010,Metering requirements,EnergyHub_System_Integration_Guide.md,SRC-004,ChargeOne_EV_Charger_Integration_Guide.md,SRC-003,System Engineering,Use EnergyHub guidance for required measurement inputs and data availability. Device guides may reference these requirements but do not override them.
KD-011,Connectivity and communication,Relevant device/system integration guide,SRC-002;SRC-003;SRC-004,,,Product Engineering / System Engineering,Use the guide that owns the affected connection: device-specific communication in the relevant product guide and cross-device coordination in EnergyHub guidance.
KD-012,Operating modes,Relevant product or system guide,SRC-003;SRC-004,,,Product Management / System Engineering,Use the guide that owns the operating mode. System-level modes are governed by EnergyHub; device-level modes by the relevant product guide.
KD-017,Warranty conditions,Warranty_Policy.md,SRC-005,Relevant product installation/integration guides,SRC-002;SRC-003;SRC-004,Legal / Product Management,"Use the warranty policy for warranty scope, eligibility, exclusions, and duration. Product guides may state compliance prerequisites but must not determine warranty eligibility."
KD-020,Third-party equipment limitations,Relevant product/system integration guide,SRC-002;SRC-003;SRC-004,"Technical escalation policy, if available",SRC-005,System Engineering / Product Engineering,"Use only explicit approved limitations. If the configuration is not covered, do not extrapolate; route to technical review."
KD-022,Technical escalation,Relevant approved guide or escalation policy,SRC-002;SRC-003;SRC-004;SRC-005,,,Technical Support / Product Engineering,"Escalate when the configuration is unsupported, evidence is insufficient or conflicting, or the relevant source explicitly requires technical review."
